Variable,R2,FstatP,VarType,Sign,Drop,Field Name,Description,Values,Notes,Drop VarName
DIANIMAL,0.000157706,0.01443398,categorical,Not Applicable,No,Presence of Donor - Animal,Compilation of known and modeled fields indicating the presence of a donor to a charitable organization for animals within the household.,"Y = Donor
P = Probable Donor
U = Unknown",Drop U,DIANIMAL_U
DIARTS,-1.80E-05,0.532021585,categorical,Not Applicable,No,Presence of Donor - Arts,Compilation of known and modeled fields indicating the presence of a donor to a charitable organization for the arts within the household.,"Y = Donor
P = Probable Donor
U = Unknown",Drop U,DIARTS_U
DICHLD,0.000127911,0.026613345,categorical,Not Applicable,No,Presence of Donor - Children,Compilation of known and modeled fields indicating the presence of a donor to a charitable organization for children within the household.,"Y = Donor
P = Probable Donor
U = Unknown",Drop U,DICHLD_U
DICNSRV,-3.86E-05,0.812174463,categorical,Not Applicable,No,Presence of Donor - Conservative,Compilation of known and modeled fields indicating the presence of a donor to a charitable organization for political conservatives within the household.,"Y = Donor
P = Probable Donor
U = Unknown",Drop U,DICNSRV_U
DIENV,0.00023911,0.00271261,categorical,Not Applicable,No,Presence of Donor - Environment,Compilation of known and modeled fields indicating the presence of a donor to a charitable organization related to the environment within the household.,"Y = Donor
P = Probable Donor
U = Unknown",Drop U,DIENV_U
DIHLTH,0.000107127,0.040779931,categorical,Not Applicable,No,Presence of Donor - Health,Compilation of known and modeled fields indicating the presence of a donor to a charitable organization related to health within the household.,"Y = Donor
P = Probable Donor
U = Unknown",Drop U,DIHLTH_U
DIHUMN,-2.22E-05,0.580193688,categorical,Not Applicable,No,Presence of Donor - Humanitarian,Compilation of known and modeled fields indicating the presence of a donor to a charitable organization related to humanitarian efforts within the household.,"Y = Donor
P = Probable Donor
U = Unknown",Drop U,DIHUMN_U
DILIB,-2.50E-05,0.614838114,categorical,Not Applicable,No,Presence of Donor - Liberal,Compilation of known and modeled fields indicating the presence of a donor to a charitable organization for political liberals within the household.,"Y = Donor
P = Probable Donor
U = Unknown",Drop U,DILIB_U
DIREL,-2.46E-05,0.609937057,categorical,Not Applicable,No,Presence of Donor - Religious,Compilation of known and modeled fields indicating the presence of a donor to a charitable organization related to religion within the household.,"Y = Donor
P = Probable Donor
U = Unknown",Drop U,DIREL_U
DIVET,-3.21E-05,0.711088474,categorical,Not Applicable,No,Presence of Donor - Veterans,Compilation of known and modeled fields indicating the presence of a donor to a charitable organization related to veterans within the household.,"Y = Donor
P = Probable Donor
U = Unknown",Drop U,DIVET_U
VETERAN,0.000122728,0.013985921,categorical,Not Applicable,No,Presence of Veteran,Compilation of fields indicting an individual within the household has served or is serving in the armed forces.,"Y = Yes
U = Unknown",Drop U,VETERAN_U
COLLEGE,-2.38E-05,0.876716896,categorical,Not Applicable,No,Presence of College Graduate,Compilation of fields indicating an individual within the household is a college graduate.,"  BLANK
Y  Yes
U  Unknown",Drop U,COLLEGE_U
AIRCRAFT,-1.81E-05,0.611790555,categorical,Not Applicable,No,US Aircraft,Indicates the individual owns an aircraft registered in the United States.,"Y = Yes
U = Unknown",Drop U,AIRCRAFT_U
PILOTS,-2.44E-05,0.99584117,categorical,Not Applicable,No,Pilots,Indicates the individual is a licensed pilot.,"Y = Yes
U = Unknown",Drop U,PILOTS_U
ATV,-2.42E-05,0.93862902,categorical,Not Applicable,No,All Terrain Vehicles,Indicates an individual within the household has a registered all terrain vehicle.,"Y = Yes
U = Unknown",Drop U,ATV_U
SNOW,-1.51E-05,0.53762391,categorical,Not Applicable,No,Snowmobiles,Indicates an individual within the household has a registered snowmobile.,"Y = Yes
U = Unknown",Drop U,SNOW_U
CCW,-2.35E-05,0.855734965,categorical,Not Applicable,No,Concealed Weapons,Indicates the individual has a concealed weapon permit or license.,"Y = Yes
U = Unknown",Drop U,CCW_U
HMVLADD,0.002106728,8.01E-21,numeric,Positive,No,Home Value Address Level,"An estimated assessed value of the property at the address level.
","0001-9999 (in thousands)
",Drop 0 (Not indicated),
LNVLRTIO,0.000138928,0.009613005,numeric,Negative,No,Loan to Value Ratio,The percentage of the mortgage amount borrowed to the appraised home value.  Data mask is xx.xx, 0000-0199,,
ESTDIS30,0.002301813,1.39E-22,numeric,Positive,No,Estimated Discretionary Income Percent,A demographic based analytical model which predicts the household discretionary income as a percentage of their estimated annual income. ,00-99,,
ESTDEB30,0.002703012,5.00E-22,categorical,Not Applicable,No,Estimated Household Debt Level,A demographic based analytical model which predicts the household annual level of financial debt. ,"A = $0
B = $1 - $1,499
C = $1,500 - $3,499
D = $3,500 - $7,499
E = $7,500 - $14,999
F = $15,000 - $24,999
G = $25,000 - $39,999
H = $40,000 - $74,999
I = $75,000+",scale,
ESTINV30,0.011998854,5.82E-103,categorical,Not Applicable,No,Estimated Household Investable Assets,A demographic based analytical model which predicts the household annual amount of investable assets.,"A = Less than $5,000
B = $5,000 - $24,999
C = $25,000 - $49,999
D = $50,000 - $74,999
E = $75,000 - $99,999
F = $100,000 - $249.999
G = $250,000 - $499,999
H = $500,000 - $749,999
I = $750,000 - $999,999
J = $1,000,000+",scale,
HHCOMP,0.005699752,6.70E-46,categorical,Not Applicable,No,Household Composition,Indicator of the household composition based on family position and presence of children.,"A = Married (husband and wife present) with children present. 
B = Married (husband & wife present) with no children present. 
C = Two persons, one male and one female - marital status unknown - with children present. 
D = Two persons, one male and one female - marital status unknown with no children present. 
E = Male householder with one or more other persons of any gender with children present. 
F = Male householder with one or more persons of any gender with no children present. 
G = Female householder with one or more other persons of any gender with children present. 
H = Female householder with one or more other persons of any gender with no children present. 
I = One person (male householder) with children present. 
J = One person (male householder) with no children present. 
K = One person (female householder) with children present. 
L = One person (female householder) with no children present. 
U = Composition unknown ",Drop U,HHCOMP_U
N65P,0.000374398,5.19E-05,categorical,Not Applicable,No,Family Member 65+,Indicates an individual 65 and older resides in the household.,"Y = Yes
U = Unknown",Drop U,N65P_U
N6064,0.000184987,0.00336735,categorical,Not Applicable,No,Family Member 60-64,Indicates an individual between the ages of 60-64 reside in the household.,"Y = Yes
U = Unknown",Drop U,N6064_U
N5059,0.000567943,8.12E-07,categorical,Not Applicable,No,Family Member 50-59,Indicates an individual between the ages of 50-59 reside in the household.,"Y = Yes
U = Unknown",Drop U,N5059_U
N4049,0.00016657,0.00510886,categorical,Not Applicable,No,Family Member 40-49,Indicates an individual between the ages of 40-49 reside in the household.,"Y = Yes
U = Unknown",Drop U,N4049_U
N3039,0.00055075,1.17E-06,categorical,Not Applicable,No,Family Member 30-39,Indicates an individual between the ages of 30-39 reside in the household.,"Y = Yes
U = Unknown",Drop U,N3039_U
N2029,0.000255058,0.000705429,categorical,Not Applicable,No,Family Member 20-29,Indicates an individual between the ages of 20-29 reside in the household.,"Y = Yes
U = Unknown",Drop U,N2029_U
N1819,0.000131549,0.011398035,categorical,Not Applicable,No,Family Member 18-19,Indicates an individual between the ages of 18-19 reside in the household.,"Y = Yes
U = Unknown",Drop U,N1819_U
U18,NA,NA,categorical,NA,No,Family Member Under 18,Indicates an individual under the age of 18 resides in the household.,"Y = Yes
U = Unknown",Drop U,U18_U
STLAPP,0.000117149,0.015927924,categorical,Not Applicable,No,Short Term Loan Applicants,Indicates an individual within the household applied for a short term loan.,"  BLANK
Y  Yes
U  Unknown",Drop U,STLAPP_U
STLINDEX,0.003079093,1.35E-29,numeric,Positive,No,Short Term Loan Index,A demographic based analytical model which predicts the likelihood someone in the household has applied for a short term loan.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
BDOC,0.000541577,1.43E-06,date,Negative,No,Bankruptcy Docket Date,Date the bankruptcy was filed with the court.  Format is CCYYMM.,CCYYMM,"Recode, Drop 0",
BANK,0.000541315,1.43E-06,categorical,Not Applicable,No,Bankruptcy Household Indicator,Indicates an individual within the household has filed for bankruptcy.,"Y = Yes
U = Uncoded",Drop U,BANK_U
BNKI,0.000680769,7.37E-08,categorical,Not Applicable,No,Bankruptcy Individual Indicator,Indicates an individual has filed for bankruptcy.,"Y = Yes
U = Uncoded",Drop U,BNKI_U
PRESSURV,0.000648442,1.46E-07,categorical,Not Applicable,No,Presence of Survey Data,Indicates the presence of an individual within the household completing a survey.,"Y = Yes
U = Unknown",Drop U,PRESSURV_U
IOR,0.00035401,8.08E-05,categorical,Negative,No,Survey - Own/Rent,An individual within the household completed a survey indicating they own or rent the current dwelling structure.,"1 = Own Apt/Condo
2 = Own other type of dwelling unit
3 = Own House/Single Family Dwelling
4 = Rent Apt/Condo
5 = Rent other type of dwelling unit
6 = Rent House/Single Family
0 = Unknown",Drop 0,IOR_0
IHH,0.000876328,1.18E-09,categorical,Not Applicable,No,Survey - Household Level Match,An individual within the household completed an offline survey.,"Y = Yes
U = Unknown",Drop U,IHH_U
IIND,0.000864019,1.53E-09,categorical,Not Applicable,No,Survey - Individual Level Match,The individual completed an offline survey.,"Y = Yes
U = Unknown",Drop U,IIND_U
QHH,-8.54E-06,0.420410004,categorical,Not Applicable,No,Survey - Household Level Match - Online,An individual within the household completed an online survey.,"Y = Yes
U = Unknown

",Drop U,QHH_U
QIND,3.49E-05,0.118681045,categorical,Not Applicable,No,Survey - Individual Level Match - Online,An individual completed an online survey.,"Y = Yes
U = Unknown
",Drop U,QIND_U
ICAT,0.00042531,1.73E-05,categorical,Not Applicable,No,Survey - Own A Cat,An individual within the household completed a survey indicating they own a cat.,"Y = Yes
U = Unknown",Drop U,ICAT_U
IDOG,0.001313613,1.22E-13,categorical,Not Applicable,No,Survey - Own A Dog,An individual within the household completed a survey indicating they own a dog.,"Y = Yes
U = Unknown",Drop U,IDOG_U
IOCD,0.000121285,0.014463667,categorical,Not Applicable,No,Survey - Own a CD/DVD Player,An individual within the household completed a survey indicating they own a CD/DVD player.,"Y = Yes
U = Unknown",Drop U,IOCD_U
IOCE,2.88E-05,0.139449946,categorical,Not Applicable,No,Survey - Own a Cellular Phone,An individual within the household completed a survey indicating they own a cellular phone.,"Y = Yes
U = Unknown",Drop U,IOCE_U
IOMO,0.000374995,5.12E-05,categorical,Not Applicable,No,Survey - Own a Motorcycle,An individual within the household completed a survey indicating they own a motorcycle.,"Y = Yes
U = Unknown",Drop U,IOMO_U
IORV,0.000227454,0.001301021,categorical,Not Applicable,No,Survey - Own An RV,An individual within the household completed a survey indicating they own a recreational vehicle (RV).,"Y = Yes
U = Unknown",Drop U,IORV_U
IOSW,0.000376782,4.93E-05,categorical,Not Applicable,No,Survey - Own a Swimming Pool,An individual within the household completed a survey indicating they own a swimming pool.,"Y = Yes
U = Unknown",Drop U,IOSW_U
IHORSE,7.50E-05,0.043439776,categorical,Not Applicable,No,Survey - Own A Horse,An individual within the household completed a survey indicating they own a horse.,"Y = Yes
U = Unknown",Drop U,IHORSE_U
IODIGITL,-2.44E-05,0.99505712,categorical,Not Applicable,No,Survey - Own A Digital/Video Camera,An individual within the household completed a survey indicating they own a digital or video camera.,"Y = Yes
U = Unknown",Drop U,IODIGITL_U
IOSMART,-8.19E-07,0.325594311,categorical,Not Applicable,No,Survey - Own a Smart Phone,An individual within the household completed a survey indicating they own a smart phone.,"Y = Yes
U = Unknown",Drop U,IOSMART_U
IOATV,-2.09E-05,0.707864386,categorical,Not Applicable,No,Survey - Own an All Terrain Vehicle,An individual within the household completed a survey indicating they own an all terrain vehicle.,"Y = Yes
U = Unknown",Drop U,IOATV_U
IC,0.0004567,8.79E-06,categorical,Not Applicable,No,Survey - Collectibles,An individual within the household completed a survey indicating they enjoy collectibles.,"Y = Yes
U = Unknown",Drop U,IC_U
ICCO,2.09E-05,0.172674159,categorical,Not Applicable,No,Survey - Collectibles - Coins - Obsolete,An individual within the household completed a survey indicating they collect coins.,"Y = Yes
U = Unknown",Drop U,ICCO_U
